// Compost colors for create_new_age. You may add your own colors, change existing ones, or remove colors that aren't needed.
blank_circuit, #b29d93
copper_circuit, #e79e87
copper_wire, #a76143
incomplete_fuel, #84bcbb
incomplete_wire, #553719
nuclear_fuel, #9dd2cd
overcharged_diamond, #73fffe
overcharged_diamond_wire, #5c8670
overcharged_gold, #ffff93
overcharged_golden_sheet, #ffffab
overcharged_golden_wire, #a4752a
overcharged_iron, #c5ebe8
overcharged_iron_sheet, #c9f2f0
overcharged_iron_wire, #7d6b58
radioactive_thorium, #e6f8d9
thorium, #ffe1b2
